HotelCode|PropertyAmenities
569462|Luggage storage
569515|Number of floors - ,Garden,Free self parking
569557|Total number of rooms - ,Free newspapers in lobby,Conference center
569570|Total number of rooms -
569585|Restaurant
569767|Restaurant,Total number of rooms - ,24-hour business center
569779|Free wired high-speed Internet
569790|Spa services on site,Meeting rooms
570084|Concierge services
570111|Free WiFi
570125|Total number of rooms - ,Garden,Spa services on site
570143|Free breakfast
570335|Laundry facilities,Tours/ticket assistance
570384|Free WiFi
570536|Free WiFi
570545|Restaurant,Dry cleaning/laundry service,One meeting room
570614|Multilingual staff
570635|Tours/ticket assistance
570665|Free WiFi
570676|Free newspapers in lobby
570686|Dry cleaning/laundry service,Express check-in
570711|Free newspapers in lobby
570718|Restaurant
570729|Restaurant,Total number of rooms -
570872|Luggage storage
571010|Free WiFi
571198|Free newspapers in lobby,Free self parking
571935|Laundry facilities
571941|Elevator/lift
575124|Airport transportation (surcharge),Laundry facilities
576426|Free newspapers in lobby
577305|Gift shops or newsstand,Number of floors - ,Business center,Wedding services
577337|Tours/ticket assistance
577466|Restaurant,Express check-in,24-hour business center,One meeting room
577485|Wedding services
577488|Number of floors - ,Number of buildings/towers -
577504|Free breakfast
577521|Designated smoking areas,Tours/ticket assistance,Free self parking
577544|Indoor pool,Dry cleaning/laundry service,Free valet parking
577615|Coffee shop or café,Free self parking
577654|Library,Free newspapers in lobby,Area shuttle (surcharge)
578342|Restaurant,One meeting room
578390|Number of buildings/towers - ,24-hour front desk,Dry cleaning/laundry service
578397|Spa services on site
578562|Dry cleaning/laundry service,Computer station
579436|Number of floors - ,Coffee shop or café,24-hour business center,Luggage storage
579569|Elevator/lift,Designated smoking areas,Tours/ticket assistance
579610|Bar/lounge,Conference space,Multilingual staff,Express check-out,Billiards or pool table
579717|Total number of rooms - ,Laundry facilities,Tours/ticket assistance
580127|Hair salon,Coffee shop or café,Meeting rooms,Express check-in,Wired (high-speed) Internet access - surcharge,Number of bars/lounges -
580961|Laundry facilities
581119|Elevator/lift,Number of floors - ,Spa tub,Library,Free newspapers in lobby,Full-service spa,Number of bars/lounges -
581122|Treatment Room,spaGallery,Spa,shahirasoiGallery,Shahi Rasoi,AmrapaliGardenGallery,Amrapali Garden
103412|Free newspapers in lobby,Full-service spa,Sauna,Number of restaurants -
103413|Bar/lounge,Total number of rooms - ,Spa tub,Children's pool,Sauna,One meeting room,Free self parking
103414|Gift shops or newsstand,Shopping on site,Poolside bar,Multilingual staff,Outdoor tennis court,Number of bars/lounges - ,Number of coffee shops/cafes -
103415|High speed internet access,Swimming pool, car rental,Business Centre, coffeeshop,Conference facilities,City Centre, safety box,Laundry, restaurant,Babysitting, steam/sauna,Fitness Centre, concierge
103416|Safe-deposit box at front desk
103418|Total number of rooms - ,Wedding services,Year Built,Free shopping center shuttle
103419|Total number of rooms - ,24-hour front desk,Dry cleaning/laundry service,Meeting rooms,Steam room,Express check-in
103420|Steam room,Free area shuttle,Number of restaurants -
103421|Shopping on site,Conference space size (feet) - ,Conference center,Free self parking,Number of coffee shops/cafes - ,Terrace
103422|Take advantage of recreation opportunities including an outdoor pool and a fitness center. Additional features include complimentary wireless Internet access, concierge services, and babysitting/childcare (surcharge).
103423|Gift shops or newsstand,Total number of rooms - ,Number of floors - ,Business center
103424|Bar/lounge,Garden,Terrace
103425|ATM/banking,Conference space,Conference space size (feet) - ,Pool sun loungers
103426|Bar/lounge,Elevator/lift,ATM/banking,Designated smoking areas,Tours/ticket assistance,Pool sun loungers
103427|Total number of rooms - ,Multilingual staff,Tours/ticket assistance,Free wired high-speed Internet,Snack bar/deli,Number of bars/lounges - ,Beach towels
103428|Tours/ticket assistance
103429|24-hour front desk,Tennis on site,Number of bars/lounges - ,Babysitting or childcare (surcharge)
103431|24-hour front desk,Number of meeting rooms -
103432|Spa treatment room(s),Steam room,Wedding services,Children's club,Pool umbrellas,Number of restaurants - ,Children's club (surcharge)
103433|Gift shops or newsstand,Airport transportation (surcharge),Garden,Express check-out,Pool umbrellas,Number of restaurants - ,Number of outdoor pools -
103434|Concierge services,Conference space,Breakfast available (surcharge),Library
103435|Pamper yourself with onsite massages or enjoy recreation amenities such as an outdoor pool. Additional amenities include complimentary wireless Internet access, tour/ticket assistance, and a picnic area.
103436|Television in common areas,Spa services on site,Express check-out,Computer station,Babysitting or childcare (surcharge)
103437|Breakfast available (surcharge),Babysitting or childcare (surcharge)
103438|Restaurant,Babysitting or childcare (surcharge)
103439|Poolside bar,Conference space size (feet) - ,Number of meeting rooms -
103440|Tours/ticket assistance
103441|Breakfast available (surcharge),Free newspapers in lobby
103442|Full-service spa,Sauna,Number of restaurants - ,One meeting room
103443|Spa tub,Garden,Ferry terminal shuttle (surcharge)
103444|Television in common areas,Children's club,Pool umbrellas
103445|Total number of rooms - ,Airport transportation (surcharge),Television in common areas,Poolside bar,Free WiFi
103446|Garden,Luggage storage
103447|Laundry facilities,Beach towels
103448|Airport transportation (surcharge),Beach towels
103449|Bar/lounge,Safe-deposit box at front desk,Free newspapers in lobby,Area shuttle (surcharge),Ferry terminal shuttle (surcharge)
103450|Babysitting or childcare,Gift shops or newsstand
103451|Restaurant,24-hour front desk,Free WiFi,Number of outdoor pools - ,One meeting room,Babysitting or childcare (surcharge)
103452|Barbecue grill(s),Picnic area,24-hour front desk,Dry cleaning/laundry service,On private beach,Shopping center shuttle (surcharge),One meeting room
103453|On private beach,Luggage storage
103454|Beach towels
103455|Pool umbrellas,Free WiFi
103456|Airport transportation (surcharge),Luggage storage
103458|Elevator/lift,Tours/ticket assistance,Children's club (free)
103459|Children's pool,Tours/ticket assistance
103461|Hair salon,Spa treatment room(s),Wedding services,Pool umbrellas,Free WiFi,Tennis on site
103462|Poolside bar,Outdoor tennis court
103463|Total number of rooms -
103464|Children's pool,24-hour front desk,Dry cleaning/laundry service,Conference center,One meeting room,Free self parking,Pool sun loungers
103465|Don't miss out on recreational opportunities including an outdoor pool and a sauna. Additional features include complimentary wireless Internet access, concierge services, and gift shops/newsstands.
103467|Fitness facilities,Laundry facilities,Business center,Limo or Town Car service available,Supervised childcare/activities (surcharge)
103469|Restaurant,Gift shops or newsstand,Number of floors - ,Number of buildings/towers - ,Arcade/game room,Dry cleaning/laundry service
103470|Conference space,Breakfast available (surcharge),24-hour front desk,Number of meeting rooms -
103472|airconditioning,bar,telephone,childrens_pool,pool,safe,balcony,restaurant,tv
103473|Restaurant
103474|Parking,TV,Air conditioning,Sauna,Cafeteria,Shop,Minibar,Gym,Internet access (hotel)
103476|Limo or Town Car service available,Spa treatment room(s),Wedding services,Tours/ticket assistance,Tennis on site
103477|Number of buildings/towers - ,24-hour front desk,Dry cleaning/laundry service
103478|Bar/lounge,Free WiFi
103480|Hair salon,Pool umbrellas,Number of meeting rooms - ,Number of outdoor pools -
103481|Airport Shuttle,Laundry Service,Wheel Chair Access,Gift Shop,Free parking,Business Center,Conference Facilities,Concierge,Accessible Rooms/Facilities,Pool,Restaurant,Room Service,High Speed Internet,Currency Exchange,Outdoor Pool,Doctor on Call,Tour Desk,24 Hour Room Service,Elevators,Barber/Beauty Shop,Childcare Service,In-Room Safe,Fitness Center or Spa,Meeting/Banquet Facilities,No Smoking Rooms/Facilities,Bar/Lounge,Tennis,WiFi,Spa,Public areas wheelchair accessible for disabled,Wheelchair accessible elevators
103482|Steam room,Wedding services,Beach bar
103483|Airport transportation (surcharge),Laundry facilities,Dry cleaning/laundry service,Number of restaurants - ,Number of meeting rooms -
103484|Conference space,Children's pool,WiFi (surcharge),Number of spa tubs -
103485|Arcade/game room,Steam room,Year Built,Beach bar,Computer station,Babysitting or childcare (surcharge)
103487|ATM/banking,Children's pool,Full-service spa,Outdoor tennis courts - ,Terrace
103488|Total number of rooms - ,Billiards or pool table
103489|Pool umbrellas,Free WiFi,Free shopping center shuttle
103490|Fitness facilities,Airport transportation (surcharge),Business center,Free WiFi,Conference space size (meters) - ,Tennis on site,Supervised childcare/activities (surcharge)
103491|Fitness facilities,Number of buildings/towers - ,Children's pool,Full-service spa,Number of restaurants - ,Free self parking,Terrace
103492|Television in common areas,Spa treatment room(s),Wedding services,Free WiFi
103493|Outdoor pool,Limo or Town Car service available,Pool umbrellas,Outdoor tennis courts - ,Beach umbrellas
103494|Elevator/lift,Designated smoking areas,Tours/ticket assistance,Year Built,Number of restaurants - ,Conference space size (meters) - ,Free pool cabanas,Pool sun loungers,Children's club (free)
103495|Outdoor pool,Breakfast available (surcharge),Safe-deposit box at front desk
103496|Bar/lounge,Spa tub,Swim-up bar,Children's pool,Sauna,Year Built,Number of restaurants - ,Free self parking
103497|Babysitting or childcare,Gift shops or newsstand,Airport transportation (surcharge),Spa services on site,Business center,Supervised childcare/activities (surcharge)
103498|Luggage storage
103499|Fitness facilities,Limo or Town Car service available,Luggage storage
103500|Number of floors - ,Multilingual staff,Tours/ticket assistance,Number of bars/lounges - ,Beach towels
103501|Children's pool,Porter/bellhop,Year Built,Pool sun loungers
103502|Safe-deposit box at front desk,Free self parking
103503|Total number of rooms - ,Multilingual staff,Children's club (free)
103504|Dip into one of the 2 outdoor swimming pools or enjoy other recreational amenities, which include a sauna. Additional amenities include wireless Internet access (surcharge), babysitting/childcare (surcharge), and gift shops/newsstands.
103505|24-hour front desk,Wedding services
103506|Restaurant,Babysitting or childcare (surcharge)
103507|Designated smoking areas,Tours/ticket assistance,Beach towels
103509|Number of meeting rooms -
103510|Shopping on site,Total number of rooms - ,Number of floors - ,Outdoor tennis courts - ,Luggage storage
103511|Gym,Cafeteria,Restaurant,Internet access (hotel),Swimming pool,Sauna,In room Internet access
104798|Garden,Spa treatment room(s),Wedding services
104799|Shopping on site,Full-service spa,Area shuttle (surcharge)
104800|Meeting rooms
104801|Concierge services,Total number of rooms -
104802|Conference space size (feet) -
104803|Number of floors - ,Barbecue grill(s),Full-service spa,Sauna,One meeting room,Free self parking
104804|Front desk (limited hours),Beach bar,Beach umbrellas,Beach sun loungers,Babysitting or childcare (surcharge)
104805|Concierge services,Garden,Coffee shop or café,Safe-deposit box at front desk,Business center,Full-service spa,Tennis on site
104806|Fitness facilities,Coffee shop or café,WiFi (surcharge),Free water park access
104807|Fitness facilities,Business center,Free WiFi
104808|Garden,Number of meeting rooms - ,Number of outdoor pools - ,Number of coffee shops/cafes -
104809|Number of buildings/towers - ,Dry cleaning/laundry service,Number of restaurants - ,Number of outdoor pools - ,Computer station,Beach sun loungers
104810|Restaurant,Total number of rooms - ,Breakfast available (surcharge),Safe-deposit box at front desk
104811|Take advantage of recreation opportunities such as an outdoor pool, or other amenities including complimentary wireless Internet access and concierge services.
104812|Laundry facilities,Coffee shop or café,Health club,One meeting room,Luggage storage
105065|Fitness facilities,Television in common areas,24-hour front desk,Dry cleaning/laundry service,Number of outdoor pools - ,Computer station,Babysitting or childcare (surcharge)
105066|Outdoor pool,ATM/banking,Concierge services,Spa tub,Children's pool,Sauna,Free self parking
105476|Fitness facilities,Television in common areas,Spa treatment room(s),Wedding services,Tours/ticket assistance,Free WiFi
105985|Babysitting or childcare,Garden,Business center,Free area shuttle
105986|Health club,24-hour front desk,Dry cleaning/laundry service,Limo or Town Car service available,Steam room,Designated smoking areas,Babysitting or childcare (surcharge)
105987|Fitness facilities,Number of outdoor pools -
106107|Hair salon
106108|Fitness facilities
106109|Laundry,Cafeteria,In room Internet access,Internet access (hotel),TV,Minibar
106110|Number of buildings/towers - ,Beach towels
106201|Barbecue grill(s),Spa tub,Children's pool
106202|Breakfast available (surcharge),Porter/bellhop,Rooftop terrace,Luggage storage
106704|Nightclub
106705|TV,Laundry,Minibar,Parking,Restaurant,Room service,Shop,Satellite TV
106769|Coffee shop or café
106813|Total number of rooms - ,Free self parking,Pool sun loungers
106825|Pamper yourself with onsite massages or take in the view from a garden. Additional features include complimentary wireless Internet access, a television in the lobby, and tour/ticket assistance. If you'd like to spend the day shopping, you can hop on the shuttle (surcharge).
106826|Poolside bar,Designated smoking areas
106831|Relax on the private beach or enjoy other recreational amenities such as an outdoor pool and an indoor pool. Additional amenities include complimentary wireless Internet access and tour/ticket assistance.
106833|Relax at the full-service spa, where you can enjoy massages and facials. You're sure to appreciate the recreational amenities, which include 3 outdoor swimming pools, a sauna, and a steam room. Additional features include complimentary wireless Internet access, babysitting/childcare (surcharge), and babysitting/childcare.
106837|Business center,Limo or Town Car service available,Spa treatment room(s),Free area shuttle,Number of meeting rooms -
106900|Enjoy recreation amenities such as an outdoor pool or take in the view from a garden. Additional features include wedding services and tour/ticket assistance.
106969|Number of buildings/towers - ,Dry cleaning/laundry service,24-hour business center,Babysitting or childcare (surcharge)
107015|Bar/lounge,Number of floors - ,Spa tub,Full-service spa,Sauna,Free self parking
107271|Free WiFi
107367|Total number of rooms - ,Laundry facilities,Free newspapers in lobby,Porter/bellhop,Tours/ticket assistance
107439|24-hour front desk,24-hour business center,Computer station,Beach sun loungers,24-hour fitness facilities
107622|Elevator/lift
107833|Breakfast available (surcharge),On private beach,Luggage storage
108360|Outdoor pool,Concierge services,Number of floors - ,Number of buildings/towers - ,Conference space,Breakfast available (surcharge),Express check-in,Conference space size (meters) -
108375|Conference center
108395|Concierge services,Coffee shop or café,Number of outdoor pools -
108396|Free newspapers in lobby
108412|Outdoor pool,Concierge services,Breakfast available (surcharge),Garden,Coffee shop or café,Luggage storage
108435|Beach umbrellas,Beach sun loungers
108445|Garden
108456|Indoor pool,Health club
108522|Elevator/lift,Laundry facilities
108633|Billiards or pool table
108675|Luggage storage
108803|Pamper yourself with a visit to the spa, which offers body treatments. Additional features include complimentary wireless Internet access, concierge services, and wedding services.
108813|Pamper yourself with onsite massages or enjoy recreation amenities such as an outdoor pool. Additional features include complimentary wireless Internet access and wedding services.
109744|Fitness facilities,Spa services on site,Pool umbrellas,Free WiFi,Luggage storage
109745|Barbecue grill(s),Library,Free newspapers in lobby,Porter/bellhop,Sauna,Area shuttle (surcharge)
109746|Gift shops or newsstand,Airport transportation (surcharge),Laundry facilities,Poolside bar,Express check-out,Sauna
109758|Restaurant,Breakfast available (surcharge),Tours/ticket assistance
109793|Take advantage of recreation opportunities such as an outdoor pool or take in the view from a terrace and a garden. Additional features include complimentary wireless Internet access and tour/ticket assistance.
110573|Make use of convenient amenities, which include complimentary wireless Internet access and tour/ticket assistance.
110575|Gift shops or newsstand,Tours/ticket assistance,Free self parking,Luggage storage
110622|Pamper yourself with onsite massages or enjoy recreation amenities such as a spa tub. Additional features include complimentary wireless Internet access, concierge services, and a hair salon.
110623|Elevator/lift,Designated smoking areas
111244|Health club,Express check-out,Free WiFi
111690|Outdoor pool,Concierge services,Conference space,Breakfast available (surcharge),Safe-deposit box at front desk,Free valet parking,Rooftop terrace
111770|Outdoor pool,Concierge services,Conference space,Breakfast available (surcharge),Safe-deposit box at front desk
111984|Airport transportation (surcharge),Free self parking,Number of poolside bars -
112114|Dry cleaning/laundry service
112304|Take advantage of recreation opportunities such as an outdoor pool, or other amenities including complimentary wireless Internet access and a picnic area. Guests can catch a ride to nearby destinations on the area shuttle (surcharge).
112307|Outdoor pool,Concierge services,Breakfast available (surcharge),Arcade/game room
112582|Restaurant,Number of buildings/towers -
112638|Free newspapers in lobby,Porter/bellhop,Full-service spa
112699|Dip into one of the 4 outdoor swimming pools or enjoy other recreational amenities, which include a fitness center. This resort also features wireless Internet access (surcharge), wedding services, and tour/ticket assistance. Guests can get around on the shuttle (surcharge), which operates within 12 km.
112730|Spa treatment room(s),Wedding services,Beach sun loungers
112747|Garden,Children's pool,Sauna
112824|Airport transportation (surcharge),Television in common areas,Multilingual staff,Free WiFi
112825|24-hour front desk,Luggage storage
112895|Bar/lounge,Total number of rooms -
113270|Meeting rooms,Pool umbrellas,Free WiFi,Conference space size (meters) - ,Supervised childcare/activities (surcharge)
113320|Pool umbrellas
113321|Airport name KRA,Non-smoking rooms,Laundry,Restaurant,Parking
113322|Take advantage of recreation opportunities such as an outdoor pool, or other amenities including complimentary wireless Internet access and tour/ticket assistance.
113639|Dry cleaning/laundry service
113761|Garden,Free newspapers in lobby,Porter/bellhop,Dry cleaning/laundry service,Year Built,One meeting room
113849|Coffee/tea in common areas,Dry cleaning/laundry service,Steam room,Luggage storage
113863|Television in common areas
113945|Airport transportation (surcharge),Garden,Multilingual staff
114039|Dry cleaning/laundry service,Spa treatment room(s),Free shopping center shuttle
114052|Outdoor pool,Safe-deposit box at front desk,Free newspapers in lobby,Snack bar/deli
114062|Take advantage of recreation opportunities such as an indoor pool, or other amenities including complimentary wireless Internet access and concierge services. This hotel also features babysitting/childcare (surcharge), a television in the lobby, and tour/ticket assistance.
114588|Concierge services,Breakfast available (surcharge),Spa tub,Swim-up bar,Billiards or pool table,Year Built,Outdoor tennis court
114600|Business centre,Car parking (Payable to hotel, if applicable),Early check-in,Gymnasium,Coach parking,Children''s pool,Lifts,Outdoor pool,Room Service,Air conditioning,Hairdryer,Internet via television,Mini bar,Satellite television,Television
114869|Hair salon,Laundry facilities,Tours/ticket assistance
114917|Enjoy a range of recreational amenities, including an outdoor pool, a fitness center, and bicycles to rent. Additional amenities at this Art Deco hotel include complimentary wireless Internet access, concierge services, and babysitting/childcare. Guests can catch a ride to nearby destinations on the area shuttle (surcharge).
114961|Smoke-free property
114989|Enjoy recreation amenities such as an outdoor pool or take in the view from a garden.
115181|Number of floors - ,Free wired high-speed Internet
115189|Total number of rooms - ,Poolside bar,Free reception,Free shopping center shuttle
115203|Gift shops or newsstand,Spa services on site,Multilingual staff
115214|Bar/lounge,Pool umbrellas,Free WiFi
115556|Fitness facilities,Business center,Meeting rooms,Steam room,Free WiFi
115585|Shopping on site,Spa treatment room(s),Tennis on site
115662|Outdoor pool,Concierge services,Total number of rooms - ,Safe-deposit box at front desk,Full-service spa,Shopping center shuttle (surcharge)
115663|Coffee/tea in common areas,Multilingual staff,Tours/ticket assistance,Number of bars/lounges -
115664|Spa services on site,Free WiFi
115839|Hair salon,ATM/banking,Number of floors - ,Number of buildings/towers - ,24-hour front desk,Dry cleaning/laundry service,Designated smoking areas (fines apply),Babysitting or childcare (surcharge)
115841|Be sure to enjoy recreational amenities, including an outdoor pool, a spa tub, and a sauna. This hotel also features complimentary wireless Internet access, concierge services, and gift shops/newsstands.
115842|Fitness facilities,Pool umbrellas,Free WiFi
115868|Fireplace in lobby,Spa services on site
115966|Garden,Children's pool,Tours/ticket assistance,Terrace
115967|Enjoy the recreation opportunities such as an outdoor pool or make use of other amenities including complimentary wireless Internet access.
115968|Designated smoking areas,Beach towels
115983|24-hour front desk,Dry cleaning/laundry service
115985|Make use of convenient amenities such as wireless Internet access (surcharge), babysitting/childcare (surcharge), and supervised childcare/activities. This resort also features an arcade/game room, gift shops/newsstands, and shopping on site.
116041|Bar/lounge,Total number of rooms - ,Laundry facilities,Number of meeting rooms -
116042|Shopping on site,Dry cleaning/laundry service,Free self parking
116193|Hotel safe,Cloakroom,Shop,Garden,Wired Internet,Room service,Laundry service,NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,NO Car park,NO Wheelchair-accessible,Bathroom,Shower,Bathtub,Hairdryer,Direct dial telephone,TV,Hi-fi,Internet access,Fridge,Tea and coffee making facilities ,Ironing set,King-size bed 150-183 width,Individually adjustable air conditioning,Safe,Living room,Terrace
116332|Elevator/lift,Conference space size (meters) - ,Conference center
116764|Pamper yourself with a visit to the spa, which offers massages, body treatments, and facials. After dipping into one of the 3 outdoor swimming pools, you can spend some time at the private beach. This resort also features complimentary wireless Internet access, concierge services, and babysitting/childcare (surcharge).
116824|Elevator/lift,Number of floors -
116826|Breakfast available (surcharge),Library,Free newspapers in lobby,Area shuttle (surcharge)
117108|Breakfast available (surcharge)
117216|Free WiFi
117359|Tours/ticket assistance,Free wired high-speed Internet
117382|Concierge services,Spa tub,Safe-deposit box at front desk,Free newspapers in lobby,Sauna,Smoke-free property
117408|Dry cleaning/laundry service
117409|Spa services on site
117551|Enjoy recreation amenities such as an outdoor pool or take in the view from a garden. This hotel also features complimentary wireless Internet access, babysitting/childcare (surcharge), and tour/ticket assistance.
117591|Air conditioning,Cafeteria,Restaurant,Minibar,TV
117592|Bar/lounge,Outdoor pool,Concierge services,Barbecue grill(s),Breakfast available (surcharge),Wedding services,Beach bar
117593|Garden,Free pool cabanas
117926|Conference space,Breakfast available (surcharge),Safe-deposit box at front desk
118131|Relax and unwind with massages, body treatments, and facials. You can take advantage of recreational amenities such as an outdoor pool, a sauna, and a steam room. This hotel also features wireless Internet access (surcharge), concierge services, and babysitting/childcare (surcharge).
118198|Number of floors - ,Spa treatment room(s),Wedding services
118199|Coffee shop or café,Wired (high-speed) Internet access - surcharge,Number of restaurants - ,Designated smoking areas (fines apply),Number of bars/lounges - ,Babysitting or childcare (surcharge)
118524|Fitness facilities,Television in common areas,Tennis on site,Free ferry terminal shuttle
118746|Restaurant,Garden,Library,Safe-deposit box at front desk,Parking (limited spaces)
118816|Airport transportation (surcharge),Meeting rooms
118855|Total number of rooms - ,Dry cleaning/laundry service
119081|Babysitting or childcare (surcharge)
119093|Hair salon,Steam room,Year Built
119095|Spa treatment room(s),Wedding services,Beach umbrellas
119096|Dip into one of the 5 outdoor swimming pools or enjoy other recreational amenities, which include a fitness center. This resort also features complimentary wireless Internet access, concierge services, and babysitting/childcare (surcharge). Getting to nearby attractions is a breeze with the area shuttle (surcharge).
119101|Breakfast available (surcharge),Free parking nearby
119142|Poolside bar,Beach towels
119143|Babysitting or childcare,Total number of rooms -
119170|Fitness facilities,Restaurant,Babysitting or childcare (surcharge)
119172|Tours/ticket assistance
119177|Fitness facilities,Dry cleaning/laundry service,Luggage storage
119230|Outdoor pool,Concierge services,Sauna,Year Built,Number of restaurants -
119263|Outdoor pool,Concierge services,Breakfast available (surcharge),Safe-deposit box at front desk,WiFi (surcharge)
119279|Number of buildings/towers - ,Pool umbrellas
119300|Outdoor seasonal pool,Conference space size (feet) -
119304|Business center,Shopping center shuttle (surcharge)
119309|Garden,Safe-deposit box at front desk,Free newspapers in lobby,Full-service spa
119337|Outdoor pool,Conference space,Breakfast available (surcharge),Garden,Safe-deposit box at front desk,Snack bar/deli,Free self parking
119339|Billiards or pool table,Outdoor tennis court
119369|Airport Shuttle,Laundry Service,Free parking,Conference Facilities,Accessible Rooms/Facilities,Pool,Restaurant,Room Service,High Speed Internet,Currency Exchange,Outdoor Pool,Tour Desk,24 Hour Room Service,Elevators,Childcare Service,In-Room Safe,Fitness Center or Spa,Meeting/Banquet Facilities,No Smoking Rooms/Facilities,Bar/Lounge,WiFi,Spa
119382|Treat yourself with body treatments and facials. Additional amenities include complimentary wireless Internet access, babysitting/childcare (surcharge), and babysitting/childcare.
119387|Coffee shop or café,Health club,24-hour front desk,Computer station
119388|Total number of rooms -
119439|Outdoor pool,Concierge services,Number of floors - ,Breakfast available (surcharge),Library,Porter/bellhop,Area shuttle (surcharge),Conference space size (feet) - ,Pool sun loungers,Beach towels
120641|Concierge services
120681|Spa tub,Free newspapers in lobby,Full-service spa,Sauna,Conference center,Free self parking
120699|Number of restaurants - ,Snack bar/deli,Pool sun loungers
120807|Total number of rooms - ,Business center,Limo or Town Car service available,Spa treatment room(s),Free WiFi
121893|Children's pool,Luggage storage
121912|Total number of rooms - ,Poolside bar
122139|Number of floors - ,Spa services on site,Business center,Spa treatment room(s),Wedding services,Children's club,Designated smoking areas,Children's club (surcharge)
122141|ATM/banking,Number of floors - ,Garden,Children's pool,Free newspapers in lobby,Porter/bellhop,Full-service spa,Terrace
122288|Free WiFi
122300|Airport name HKT,Sauna,Air conditioning,Laundry,Shop,Gym,Non-smoking rooms,Room service,Restaurant,TV,Minibar,Parking
122302|Shopping on site,Children's pool,Designated smoking areas,Tours/ticket assistance
122386|Restaurant,Breakfast available (surcharge),Coffee shop or café,Tours/ticket assistance,Free self parking,Pool sun loungers
122992|Bar/lounge,Number of buildings/towers - ,Children's pool,Multilingual staff,Tours/ticket assistance
122993|Laundry facilities,Tours/ticket assistance,Terrace
122994|Total number of rooms - ,Free newspapers in lobby,Parking (limited spaces)
123270|Total number of rooms - ,Children's pool,Free newspapers in lobby,Dry cleaning/laundry service,Free self parking,Terrace
123271|Hair salon,Business center,Dry cleaning/laundry service,Steam room,Grocery/convenience store,Beach bar,Babysitting or childcare (surcharge)
123272|Airport transportation (surcharge),Wedding services
123273|Garden,Children's club (free)
123274|One meeting room,Parking (limited spaces)
123275|Restaurant,ATM/banking,Children's pool,Multilingual staff,Luggage storage
123276|Enjoy a range of recreational amenities, including an outdoor pool, a sauna, and a fitness center. Additional amenities include complimentary wireless Internet access, concierge services, and babysitting/childcare (surcharge).
123277|24-hour front desk
123433|Total number of rooms - ,Terrace
123434|Total number of rooms - ,Health club,Babysitting or childcare (surcharge)
123435|Free WiFi
123437|Airport transportation (surcharge),Pool umbrellas,Free WiFi,Beach towels
123737|Enjoy recreational amenities such as an outdoor pool and a sauna. Additional amenities include complimentary wireless Internet access, gift shops/newsstands, and barbecue grills.
125525|Shopping on site
125557|Bar/lounge,Fitness facilities,Limo or Town Car service available,Free WiFi
126575|24-hour front desk,Business center,Computer station
126576|Fitness facilities,Number of meeting rooms - ,Luggage storage
126577|Laundry facilities,Wedding services,Luggage storage
126578|Designated smoking areas,Tours/ticket assistance
126579|Relax on the private beach or enjoy other recreational amenities such as an outdoor pool. Additional amenities include wireless Internet access (surcharge) and tour/ticket assistance.
126580|Laundry facilities,Limo or Town Car service available
126581|Number of buildings/towers - ,Sauna,Year Built,Conference center,Free self parking
126582|Restaurant,Library,Beach towels
126834|Babysitting or childcare (surcharge)
126835|Outdoor pool,Conference space
126836|Free WiFi,Beach towels
126837|Take in the views from a terrace and make use of amenities such as complimentary wireless Internet access and babysitting/childcare (surcharge). Additional amenities at this Art Deco hotel include a television in the lobby, tour/ticket assistance, and barbecue grills. Guests can catch a ride to nearby destinations on the complimentary area shuttle.
126838|Outdoor pool
126839|Bar/lounge,Porter/bellhop,Number of restaurants - ,Conference space size (feet) - ,Pool sun loungers
127341|Designated smoking areas,Tours/ticket assistance
127342|Express check-out,Spa treatment room(s),Wedding services,Beach umbrellas
127343|Outdoor pool,Breakfast available (surcharge),Safe-deposit box at front desk,On private beach
127707|Picnic area,Luggage storage
127708|Outdoor pool,Concierge services,Number of buildings/towers - ,Conference space,Breakfast available (surcharge),Coffee shop or café,Safe-deposit box at front desk,Picnic area,Express check-in,Number of restaurants - ,Luggage storage
128467|Enjoy the recreation opportunities such as an outdoor pool or make use of other amenities including complimentary wireless Internet access.
128468|Waterslide,Beach bar
128510|Relax at the full-service spa, where you can enjoy massages, body treatments, and facials. You can take advantage of recreational amenities such as an outdoor pool and a sauna. Additional features include complimentary wireless Internet access, concierge services, and tour/ticket assistance. Guests can catch a ride on the shuttle (surcharge), which operates within 50 km.
128988|24-hour concierge
129906|Elevator/lift,Number of bars/lounges -
129907|Designated smoking areas,Babysitting or childcare (free)
130136|Poolside bar,Swim-up bar,Number of outdoor pools - ,Children's club (free)
131816|Poolside bar,Free wired high-speed Internet,Snack bar/deli
131820|Relax at the full-service spa, where you can enjoy massages. Additional features include complimentary wireless Internet access, concierge services, and a television in the lobby.
131852|Swim-up bar,Luggage storage,Pool sun loungers,Beach towels
131853|Restaurant,Breakfast available (surcharge),WiFi (surcharge)
131854|Breakfast available (surcharge),Dry cleaning/laundry service,Babysitting or childcare (surcharge)
132007|Elevator/lift,WiFi (surcharge)
132008|Babysitting or childcare,Poolside bar,Spa services on site,Spa treatment room(s),Sauna
132124|On private beach,Luggage storage
132125|Computer station
132126|Spa tub,Porter/bellhop,Full-service spa,Free self parking
132127|Number of buildings/towers - ,Dry cleaning/laundry service,Spa treatment room(s)
132128|Children's pool,Free newspapers in lobby,Porter/bellhop,Sauna,Area shuttle (surcharge),Conference space size (meters) -
