HotelCode|PropertyAmenities
132436|Elevator/lift,Spa services on site,Private beach nearby
132832|Restaurant,Express check-in
133074|Health club,Limo or Town Car service available
134096|Babysitting or childcare,Coffee/tea in common areas,Laundry facilities,Year Built,Free area shuttle
134097|Sauna
134098|Pamper yourself with onsite massages, body treatments, and facials. You're sure to appreciate the recreational amenities, including an outdoor pool, a sauna, and a steam room. This hotel also features complimentary wireless Internet access, gift shops/newsstands, and a hair salon. Guests can get to nearby shops on the complimentary shuttle.
135050|Gift shops or newsstand,Total number of rooms - ,Spa services on site,Multilingual staff,Limo or Town Car service available,Number of coffee shops/cafes -
135470|Poolside bar,Spa services on site
135818|Sauna
135819|Restaurant,Supervised childcare/activities,Concierge services,Coffee shop or café,Free valet parking,Computer station
135820|Hair salon,Free newspapers in lobby,Porter/bellhop,Free self parking
136034|Total number of rooms - ,Laundry facilities,Multilingual staff,Number of coffee shops/cafes -
136038|Dry cleaning/laundry service
136043|Elevator/lift,Hair salon,Free self parking,Luggage storage
136044|Gift shops or newsstand,Number of floors - ,Poolside bar,Multilingual staff,Free WiFi,Valet parking (surcharge)
136050|Number of floors - ,Free use of nearby fitness center,Express check-out,Limo or Town Car service available,Wedding services,Pool umbrellas
136051|Hair salon,Gift shops or newsstand,24-hour front desk,Dry cleaning/laundry service,Express check-in,Designated smoking areas (fines apply),Number of coffee shops/cafes - ,Pool sun loungers
136055|Elevator/lift,Airport transportation (surcharge)
138783|Elevator/lift,Express check-in,Number of restaurants -
138784|Indoor pool,Hair salon
138785|Coffee shop or café,Safe-deposit box at front desk
138957|Gymnasium,Swimming pool,Laundry room,Sauna,Elevators,Room Service,Late check-out,Living Room,Porterage
139938|Airport transportation (surcharge),Express check-out
139939|Health club,Business center,Dry cleaning/laundry service,Number of outdoor pools - ,Beach umbrellas
140312|Conference space,Free newspapers in lobby,Sauna,Conference center,Snack bar/deli,Pool sun loungers
141010|Year Built,Snack bar/deli,Free self parking,Free beach cabanas,Pool sun loungers,Supervised childcare/activities (free)
141011|Total number of rooms - ,Television in common areas,Spa treatment room(s),Free WiFi,Tennis on site
141176|Shopping on site,Arcade/game room,Business center,Wedding services,Free area shuttle
